Date,Temperature High (C),Temperature Low (C),Temperature Average (C),Sea Surface Temperature (C),Sea Ice (WMO Code),Pressure High (mbar),Pressure Low (mbar),Pressure Average (mbar),Wind Peak (knots),Wind 5-Sec Peak (knots),Wind 2-Min Peak (knots),Wind Average (knots),Wind Peak Direction,Wind 5-Sec Peak Direction,Wind 2-Min Peak Direction,Wind Prevailing Direction,Precipitation Melted (mm),Precipitation Snow (cm),Depth at Snowstake (cm),Sky Coverage (tenths)
1996-09-02,2.8,-5.3,-2.4,-2.0,82691,998.7,993.4,997.3,22.0,,,6.0,90.0,,,NE,0.0,0,58,10.0
1996-09-03,0.9,-3.7,-1.3,-1.7,82690,998.7,994.9,996.8,35.0,,,12.0,80.0,,,E,0.0,0,58,10.0
1996-09-04,0.9,-3.4,-1.3,-1.7,82690,1010.2,995.9,1006.3,25.0,,,3.0,40.0,,,NE,0.5,T,58,10.0
1996-09-05,0.9,-1.9,-0.7,-1.7,82690,1010.2,1006.1,1008.0,28.0,,,13.0,70.0,,,E,0.0,0,58,10.0
1996-09-06,3.1,-2.5,-0.8,-1.8,82690,1008.5,1006.6,1007.6,26.0,,,6.0,80.0,,,NE,0.0,0,58,10.0
1996-09-07,1.3,-3.4,-1.7,-1.8,82690,1006.8,999.5,1002.5,51.0,,,14.0,40.0,,,NE,0.8,1,57,10.0
1996-09-08,-1.2,-8.0,-5.6,-1.7,84680,1008.8,1004.7,1006.8,18.0,,,5.0,10.0,,,N,1.2,1,60,8.0
1996-09-09,2.2,-7.7,-3.1,-1.7,84680,1004.7,984.3,993.3,36.0,,,12.0,80.0,,,NE,0.0,0,60,10.0
1996-09-10,1.5,-5.6,-2.2,-1.8,0/6/0,986.2,979.0,982.8,58.0,,,25.0,50.0,,,NE,T,T,59,10.0
1996-09-11,0.8,-4.9,-1.4,-1.9,0/6/0,986.2,977.3,979.6,59.0,,,30.0,30.0,,,NE,0.3,T,58,10.0
1996-09-12,2.4,-2.2,-0.2,-1.9,0/6/0,980.9,977.0,978.5,50.0,,,22.0,30.0,,,NE,0.4,T,58,10.0
1996-09-13,0.5,-3.8,-2.6,-1.9,0/6/0,989.3,977.3,985.7,28.0,,,8.0,360.0,,,N,1.7,2,58,9.0
1996-09-14,-3.0,-7.4,-4.8,-1.9,51692,990.4,983.3,987.3,24.0,,,10.0,240.0,,,SW,0.7,T,60,10.0
1996-09-15,-5.9,-8.7,-7.7,-2.0,41691,990.4,987.8,988.9,18.0,,,10.0,340.0,,,NW,1.7,5,70,10.0
1996-09-16,-6.3,-12.2,-8.8,-2.0,41692,1004.8,988.3,998.2,18.0,,,5.0,230.0,,,N,1.1,3,71,3.0
1996-09-17,-5.4,-11.4,-8.0,-1.9,30692,1005.3,988.8,999.2,21.0,,,7.0,40.0,,,NE,0.0,0,67,8.0
1996-09-18,0.1,-6.7,-1.6,-1.9,20692,988.8,979.3,981.5,38.0,,,10.0,60.0,,,NE,1.1,1,59,10.0
1996-09-19,0.3,-1.7,-1.1,-1.9,21692,992.4,983.9,989.0,37.0,,,6.0,30.0,,,N,8.3,18,59,10.0
1996-09-20,2.4,-3.1,0.0,-1.9,0/6/0,992.4,985.1,988.4,42.0,,,14.0,20.0,,,NE,4.1,2,62,10.0
1996-09-21,3.9,1.6,2.6,-1.8,0/6/0,986.2,980.0,983.1,44.0,,,20.0,20.0,,,N,1.8,T,58,10.0
1996-09-22,2.7,-3.0,-0.7,-1.8,0/6/0,994.6,983.0,989.4,38.0,,,21.0,30.0,,,N,0.7,1,57,10.0
1996-09-23,3.8,-0.3,1.9,-1.8,0/6/0,991.7,982.2,986.9,60.0,,,27.0,20.0,,,N,19.9,T,52,10.0
1996-09-24,2.0,-0.4,1.1,-1.8,0/6/0,987.9,979.6,983.8,45.0,,,22.0,350.0,,,NW,11.7,T,47,10.0
1996-09-25,1.7,-1.2,0.6,-1.9,0/6/0,999.5,979.1,988.4,49.0,,,26.0,330.0,,,NW,1.7,T,47,10.0
1996-09-26,3.4,-0.1,1.6,-1.8,0/6/0,999.7,973.8,986.0,60.0,,,29.0,10.0,,,N,7.1,T,44,10.0
1996-09-27,2.3,-1.1,0.4,-1.9,0/6/0,998.3,975.6,993.6,40.0,,,22.0,360.0,,,N,4.3,T,42,10.0
1996-09-28,3.1,0.1,1.5,-1.9,0/6/0,989.8,965.2,976.8,55.0,,,31.0,20.0,,,N,10.2,2,45,10.0
1996-09-29,2.6,1.0,1.7,-1.8,0/6/0,973.2,965.0,971.9,60.0,,,26.0,10.0,,,N,3.6,T,37,10.0
1996-09-30,3.6,-1.4,0.8,-1.7,0/6/0,978.5,967.5,973.9,69.0,,,22.0,30.0,,,N,1.6,T,37,10.0
1996-10-01,1.5,0.0,0.8,-1.8,0/6/0,975.5,970.5,973.6,35.0,,,22.0,20.0,,,N,1.4,T,35,10.0
1996-10-02,2.8,-4.2,-3.1,-1.9,52792,991.9,971.9,985.4,32.0,,,10.0,240.0,,,SW,3.1,4,43,10.0
1996-10-03,0.1,-4.4,-0.9,-1.9,0/6/0,992.2,977.2,983.5,58.0,,,31.0,10.0,,,N,0.4,T,39,10.0
1996-10-04,1.8,-1.4,-0.2,-1.8,0/6/0,977.2,966.5,971.3,56.0,,,28.0,20.0,,,N,0.7,T,42,9.0
1996-10-05,-1.2,-4.1,-2.3,-1.8,0/6/0,966.1,956.7,961.3,28.0,,,9.0,330.0,,,N,0.3,T,42,10.0
1996-10-06,0.0,-3.8,-2.6,-1.9,0/6/0,970.5,962.8,967.0,22.0,,,16.0,240.0,,,SW,2.5,2,43,10.0
1996-10-07,-3.4,-8.3,-6.6,-2.0,71692,975.6,970.9,974.0,22.0,,,12.0,240.0,,,SW,0.1,T,43,10.0
1996-10-08,-2.2,-8.0,-5.6,-2.0,71692,979.7,969.9,976.6,48.0,,,10.0,360.0,,,S,0.1,T,43,10.0
1996-10-09,-0.8,-4.1,-2.5,-2.0,72692,986.2,969.9,980.0,36.0,,,13.0,250.0,,,W,0.6,1,44,9.0
1996-10-10,1.6,-2.0,0.5,-2.0,72692,998.3,985.4,995.0,42.0,,,22.0,340.0,,,NW,2.0,2,46,10.0
1996-10-11,1.4,-5.0,-1.1,-2.0,21691,994.9,965.5,972.3,58.0,,,30.0,360.0,,,N,2.1,2,53,10.0
1996-10-12,0.6,-5.5,-3.7,-2.0,21691,969.2,956.0,962.7,42.0,,,20.0,340.0,,,W,3.3,3,57,9.0
1996-10-13,-4.2,-10.2,-8.5,-2.0,21692,967.6,957.9,965.5,36.0,,,14.0,210.0,,,S,0.3,T,53,9.0
1996-10-14,-2.4,-11.2,-8.9,-2.0,52692,969.8,964.8,966.7,18.0,,,8.0,200.0,,,S,0.0,0,51,4.0
1996-10-15,-1.0,-10.4,-8.0,-2.0,92693,980.1,969.5,977.7,27.0,,,5.0,60.0,,,NW,1.0,1,52,8.0
1996-10-16,0.0,-9.3,-2.6,-1.8,0/6/0,980.1,966.3,971.4,37.0,,,17.0,30.0,,,NE,3.6,3,53,10.0
1996-10-17,4.1,-3.8,-0.4,-1.9,0/6/0,979.2,967.8,973.6,29.0,,,8.0,60.0,,,NE,1.2,1,52,8.0
1996-10-18,-3.5,-5.3,-4.4,-1.8,0/6/0,992.9,979.2,988.3,15.0,,,5.0,220.0,,,S,T,T,51,10.0
1996-10-19,0.5,-5.4,-3.3,-1.8,21692,996.9,992.9,995.9,13.0,,,5.0,230.0,,,SW,T,T,51,10.0
1996-10-20,0.1,-3.3,-1.0,-1.8,21692,995.0,989.2,991.9,24.0,,,8.0,260.0,,,NW,3.3,3,53,10.0
1996-10-21,0.3,-1.4,-0.3,-1.7,42693,989.2,981.8,985.3,26.0,,,9.0,10.0,,,NW,7.5,11,66,10.0
1996-10-22,0.7,-7.5,-3.2,-1.8,22692,984.2,976.0,979.8,32.0,,,17.0,250.0,,,W,3.0,1,66,9.0
1996-10-23,0.3,-7.3,-5.0,-1.8,42693,994.2,984.8,992.6,24.0,,,7.0,220.0,,,S,T,T,68,8.0
1996-10-24,2.0,-7.4,-1.4,-1.8,52692,994.1,988.9,990.6,20.0,,,6.0,330.0,,,NW,0.2,T,67,10.0
1996-10-25,0.2,-3.8,-1.2,-1.8,42692,990.4,980.4,984.9,38.0,,,21.0,10.0,,,NW,1.5,1,66,8.0
1996-10-26,4.1,-6.0,-2.2,-1.9,52692,994.9,990.5,993.2,22.0,,,7.0,340.0,,,NW,0.2,T,64,8.0
1996-10-27,4.0,-4.3,-1.5,-1.9,42692,1001.9,995.0,1000.9,12.0,,,3.0,10.0,,,NW,0.1,T,62,10.0
1996-10-28,3.1,-6.6,-0.7,-1.9,43692,1001.9,989.5,995.9,50.0,,,9.0,10.0,,,N,0.2,T,62,9.0
1996-10-29,4.7,-0.4,1.9,-1.6,0/6/0,992.8,984.8,988.2,52.0,,,25.0,10.0,,,N,7.5,T,51,10.0
1996-10-30,2.6,0.4,1.7,-1.4,0/6/0,994.6,986.5,991.0,51.0,,,26.0,340.0,,,N,3.5,T,41,10.0
1996-10-31,5.2,1.3,2.7,-1.3,0/6/0,1001.0,987.8,996.3,38.0,,,19.0,340.0,,,N,3.1,0,38,10.0
1996-11-01,2.9,0.9,2.4,-1.2,0/6/0,989.5,980.0,986.2,50.0,,,25.0,20.0,,,N,4.8,T,29,9.0
1996-11-02,1.7,-0.7,0.3,-1.3,0/6/0,981.3,972.3,975.6,44.0,,,27.0,10.0,,,N,0.7,T,28,9.0
1996-11-03,0.2,-2.6,-0.6,-1.4,0/6/0,972.3,963.9,968.7,51.0,,,16.0,10.0,,,N,0.5,T,30,8.0
1996-11-04,1.9,-0.9,0.5,-1.4,0/6/0,971.4,949.9,959.9,59.0,,,28.0,30.0,,,NE,5.0,T,27,9.0
1996-11-05,-0.4,-3.5,-1.9,-1.5,0/6/0,963.4,954.3,959.5,36.0,,,19.0,350.0,,,W,3.9,4,46,10.0
1996-11-06,0.6,-4.3,-1.6,-1.4,0/6/0,965.8,959.2,963.2,35.0,,,16.0,350.0,,,NW,6.2,3,48,9.0
1996-11-07,0.2,-4.2,-3.1,-1.5,21692,978.3,965.8,975.5,21.0,,,9.0,230.0,,,SW,0.5,1,54,10.0
1996-11-08,0.6,-3.3,-0.9,-1.4,0/6/0,977.3,969.7,974.0,55.0,,,17.0,30.0,,,N,T,T,50,10.0
1996-11-09,1.1,-3.5,-1.4,-1.3,0/6/0,970.9,962.3,966.2,37.0,,,15.0,30.0,,,NW,0.2,T,45,10.0
1996-11-10,1.0,-3.3,-2.0,-1.3,0/6/0,971.6,961.4,969.4,23.0,,,10.0,240.0,,,W,1.9,4,46,8.0
1996-11-11,2.8,-6.7,-3.7,-1.0,0/4/0,970.9,967.8,969.4,16.0,,,5.0,240.0,,,SW,0.3,T,44,4.0
1996-11-12,0.8,-7.0,-3.4,-1.3,0/6/0,969.9,965.6,967.8,16.0,,,5.0,230.0,,,SW,0.6,1,44,5.0
1996-11-13,-2.2,-9.8,-5.5,-0.9,0/6/0,965.1,956.3,959.3,21.0,,,10.0,220.0,,,SW,T,T,43,4.0
1996-11-14,-1.2,-7.7,-5.2,-1.0,0/6/0,963.8,955.6,959.2,25.0,,,9.0,210.0,,,SW,0.5,T,42,8.0
1996-11-15,1.5,-6.9,-3.2,-0.8,0/6/0,971.9,963.8,970.4,9.0,,,3.0,310.0,,,NE,0.0,0,41,2.0
1996-11-16,3.7,-4.0,-1.7,-1.0,31692,973.0,963.7,970.3,20.0,,,6.0,70.0,,,E,0.0,0,40,9.0
1996-11-17,2.0,-2.5,0.6,-0.9,0/6/0,963.7,957.3,959.4,24.0,,,5.0,320.0,,,SE,2.5,T,40,10.0
1996-11-18,4.5,-1.8,0.2,-1.0,0/6/0,973.6,963.7,969.8,37.0,,,10.0,10.0,,,NW,0.7,2,42,9.0
1996-11-19,2.5,-1.7,-0.3,-1.0,0/6/0,977.8,959.7,968.7,47.0,,,21.0,100.0,,,N,4.4,4,50,10.0
1996-11-20,6.5,-3.1,1.2,-0.8,0/6/0,988.1,977.8,985.5,14.0,,,6.0,20.0,,,N,T,T,45,4.0
1996-11-21,8.1,-2.5,2.1,-0.5,0/6/0,993.9,986.8,990.0,17.0,,,4.0,70.0,,,E,0.0,0,40,2.0
1996-11-22,5.6,-1.7,1.4,-0.2,0/6/0,999.8,993.9,998.8,14.0,,,4.0,20.0,,,N,T,T,37,10.0
1996-11-23,4.3,-0.9,0.7,0.2,0/6/0,998.0,989.8,993.7,16.0,,,3.0,100.0,,,NW,T,T,35,9.0
1996-11-24,5.7,-0.7,2.1,-0.7,0/5/0,989.8,980.3,982.9,40.0,,,14.0,70.0,,,NE,0.0,0,32,10.0
1996-11-25,6.7,0.3,2.4,-0.2,0/5/0,985.8,981.1,984.3,12.0,,,4.0,180.0,,,SE,T,0,28,9.0
1996-11-26,5.6,0.2,2.0,-0.1,0/5/0,984.3,977.3,980.6,23.0,,,4.0,130.0,,,NW,T,T,25,10.0
1996-11-27,5.6,0.1,2.6,0.0,0/5/0,989.4,984.3,987.8,19.0,,,5.0,20.0,,,SE,0.3,0,21,9.0
1996-11-28,5.3,0.6,3.0,-0.2,0/6/0,989.4,977.8,981.3,44.0,,,20.0,10.0,,,NE,5.6,0,10,10.0
1996-11-29,4.6,0.5,2.2,0.2,0/6/0,980.1,974.3,977.4,22.0,,,5.0,30.0,,,SE,T,T,5,10.0
1996-11-30,2.1,-2.6,-1.7,0.0,0/6/0,981.5,980.1,981.3,20.0,,,9.0,250.0,,,SW,0.2,T,5,10.0
1996-12-01,0.4,-2.9,-1.5,-0.2,0/6/0,980.8,977.5,978.2,22.0,,,11.0,260.0,,,SW,T,T,0,9.0
1996-12-02,-1.0,-4.0,-2.7,-0.1,0/6/0,981.2,977.2,978.6,22.0,,,13.0,220.0,,,SW,T,T,0,9.0
1996-12-03,3.7,-3.3,-1.0,-0.1,0/6/0,990.5,981.0,986.4,13.0,,,4.0,230.0,,,NW,T,T,0,9.0
1996-12-04,2.5,-1.1,0.3,-0.1,0/6/0,1001.1,985.2,992.3,45.0,,,13.0,20.0,,,NW,0.2,T,0,10.0
1996-12-05,4.5,-1.3,1.4,-0.5,0/6/0,1006.2,1001.1,1004.9,32.0,,,10.0,360.0,,,N,1.9,T,0,10.0
1996-12-06,4.1,0.1,2.0,-0.5,0/6/0,1004.0,993.6,1000.3,39.0,,,18.0,10.0,,,N,8.1,1,0,10.0
1996-12-07,3.6,-1.1,0.2,-0.4,0/6/0,1000.0,987.4,992.0,23.0,,,5.0,220.0,,,S,12.3,9,4,8.0
1996-12-08,2.5,-1.4,0.6,-0.2,0/6/0,1005.9,998.7,1003.0,38.0,,,14.0,40.0,,,N,T,0,0,10.0
1996-12-09,4.3,-0.5,0.9,-0.2,0/6/0,1001.3,996.5,999.6,32.0,,,7.0,30.0,,,NW,6.5,1,0,10.0
1996-12-10,2.4,-0.7,0.6,-0.4,0/6/0,1002.3,1000.1,1001.0,9.0,,,5.0,260.0,,,W,0.3,T,0,10.0
1996-12-11,2.2,-1.7,-0.3,-0.2,0/6/0,1003.2,995.8,1000.9,12.0,,,5.0,260.0,,,W,0.4,T,0,10.0
1996-12-12,7.6,-2.5,2.4,0.2,0/6/0,995.8,982.1,986.0,34.0,,,7.0,100.0,,,E,0.0,0,0,9.0
1996-12-13,4.0,-1.7,2.4,-0.1,0/6/0,989.1,978.4,982.4,40.0,,,14.0,60.0,,,E,0.1,T,0,10.0
1996-12-14,3.5,-0.4,0.9,-0.1,0/6/0,978.9,977.3,978.6,28.0,,,8.0,360.0,,,NW,2.6,1,0,10.0
1996-12-15,4.2,-1.8,0.5,0.0,0/6/0,983.9,978.6,980.6,9.0,,,4.0,40.0,,,E,0.2,T,0,9.0
1996-12-16,2.6,-1.0,0.0,0.2,0/6/0,989.3,983.9,987.8,7.0,,,3.0,130.0,,,SE,0.3,T,0,10.0
1996-12-17,2.6,-1.7,0.4,0.3,0/6/0,990.9,989.2,990.2,14.0,,,5.0,220.0,,,SW,2.0,2,0,10.0
1996-12-18,2.2,-0.7,1.1,0.5,0/6/0,992.1,990.7,991.4,21.0,,,8.0,360.0,,,W,0.8,T,0,10.0
1996-12-19,5.5,1.1,3.1,0.1,0/6/0,990.7,976.3,983.0,27.0,,,10.0,100.0,,,SE,0.0,0,0,10.0
1996-12-20,5.5,0.5,3.2,0.2,0/6/0,976.3,970.0,971.1,29.0,,,9.0,70.0,,,E,3.0,T,0,9.0
1996-12-21,6.6,1.8,4.7,0.1,0/6/0,969.8,967.1,968.9,38.0,,,12.0,20.0,,,N,0.7,0,0,10.0
1996-12-22,7.2,3.1,4.7,-0.1,0/6/0,969.9,966.6,968.1,45.0,,,22.0,100.0,,,E,T,0,0,10.0
1996-12-23,5.3,1.6,2.9,-0.4,0/6/0,986.3,970.0,979.8,45.0,,,7.0,100.0,,,E,1.2,T,0,10.0
1996-12-24,8.2,-0.4,3.9,-0.1,0/6/0,990.9,986.3,989.0,14.0,,,2.0,100.0,,,E,0.0,0,0,2.0
1996-12-25,9.6,-0.1,5.4,0.3,0/6/0,986.8,981.4,982.9,26.0,,,11.0,120.0,,,E,0.0,0,0,4.0
1996-12-26,9.2,1.6,4.8,0.1,0/6/0,995.5,983.2,990.7,26.0,,,7.0,120.0,,,W,0.0,0,0,3.0
1996-12-27,4.0,0.0,0.8,0.6,0/6/0,996.9,991.5,994.5,9.0,,,4.0,240.0,,,W,0.0,0,0,9.0
1996-12-28,3.2,-1.1,0.7,0.0,0/6/0,991.9,985.8,987.3,9.0,,,2.0,260.0,,,W,3.0,2,0,10.0
1996-12-29,5.7,0.1,2.1,0.2,0/6/0,985.9,981.3,984.0,19.0,,,5.0,220.0,,,SW,T,T,0,8.0
1996-12-30,6.5,0.6,3.7,0.0,0/6/0,981.3,971.5,974.4,34.0,,,10.0,60.0,,,E,0.2,T,0,10.0
1996-12-31,5.6,0.7,2.4,0.1,0/6/0,981.8,973.1,979.2,22.0,,,5.0,100.0,,,E,1.3,T,0,10.0
1997-01-01,5.6,1.3,4.3,0.2,0/6/0,981.9,970.3,975.9,38.0,,,11.0,30.0,,,NE,T,0,0,9.0
1997-01-02,5.8,0.8,2.7,0.4,0/6/0,976.9,970.8,975.3,33.0,,,13.0,360.0,,,N,2.3,0,0,9.0
1997-01-03,5.5,0.3,1.6,0.5,0/6/0,981.1,976.9,979.6,18.0,,,6.0,350.0,,,N,1.4,T,0,10.0
1997-01-04,4.5,-1.5,1.2,0.6,0/6/0,981.1,978.9,980.3,7.0,,,3.0,50.0,,,NE,0.0,0,0,8.0
1997-01-05,5.6,-0.4,2.1,0.5,0/6/0,978.9,975.0,976.7,10.0,,,2.0,360.0,,,NE,0.0,0,0,7.0
1997-01-06,5.5,-1.1,2.3,0.8,0/6/0,975.0,970.2,972.1,13.0,,,4.0,190.0,,,SW,0.0,0,0,2.0
1997-01-07,5.6,-1.1,1.7,0.8,0/6/0,980.6,973.6,978.6,22.0,,,6.0,10.0,,,N,0.0,0,0,7.0
1997-01-08,5.6,0.5,2.7,1.0,0/6/0,984.0,979.2,981.2,27.0,,,8.0,20.0,,,NE,T,0,0,9.0
1997-01-09,5.9,-0.1,2.8,1.7,0/6/0,990.2,984.0,987.7,22.0,,,6.0,10.0,,,N,1.4,T,0,5.0
1997-01-10,8.2,2.6,4.0,0.8,0/6/0,987.2,971.9,976.2,36.0,,,15.0,40.0,,,E,T,0,0,10.0
1997-01-11,8.3,2.1,4.5,1.0,0/6/0,977.9,972.8,976.2,34.0,,,17.0,20.0,,,N,2.1,0,0,9.0
1997-01-12,5.7,2.2,4.5,1.0,0/6/0,981.8,977.2,979.4,30.0,,,10.0,40.0,,,N,1.7,0,0,10.0
1997-01-13,5.5,2.2,4.0,1.0,0/6/0,992.9,981.9,987.6,26.0,,,14.0,360.0,,,N,2.5,0,0,7.0
1997-01-14,8.9,2.9,5.3,1.2,0/6/0,994.0,981.9,987.1,38.0,,,13.0,80.0,,,E,0.4,0,0,10.0
1997-01-15,7.5,2.6,4.8,1.3,0/6/0,991.8,982.0,988.9,35.0,,,16.0,10.0,,,N,0.4,0,0,9.0
1997-01-16,6.1,1.1,2.6,1.0,0/6/0,988.9,978.9,982.6,40.0,,,11.0,90.0,,,E,5.9,T,0,10.0
1997-01-17,2.6,0.5,1.2,1.0,0/6/0,995.6,986.2,992.1,19.0,,,7.0,270.0,,,W,T,0,0,10.0
1997-01-18,2.0,-0.8,0.0,0.8,0/6/0,1003.6,995.6,1001.5,10.0,,,3.0,220.0,,,W,T,T,0,10.0
1997-01-19,6.0,-2.1,1.4,1.0,0/6/0,1003.7,996.0,999.9,26.0,,,3.0,120.0,,,SE,0.1,T,0,10.0
1997-01-20,6.0,1.9,3.9,1.0,0/6/0,996.0,986.4,991.4,26.0,,,3.0,120.0,,,SE,0.1,0,0,9.0
1997-01-21,6.4,0.9,4.2,1.0,0/6/0,986.4,971.4,978.0,41.0,,,10.0,70.0,,,E,0.2,0,0,10.0
1997-01-22,9.5,1.6,5.0,1.0,0/6/0,991.9,974.5,985.8,52.0,,,8.0,140.0,,,E,0.9,0,0,9.0
1997-01-23,4.7,2.2,3.5,1.1,0/6/0,992.4,976.0,988.2,42.0,,,23.0,10.0,,,N,3.0,0,0,10.0
1997-01-24,6.2,0.5,3.8,0.9,0/6/0,993.1,984.8,989.3,39.0,,,16.0,10.0,,,N,2.1,0,0,10.0
1997-01-25,5.5,1.4,2.8,0.8,0/6/0,985.3,982.5,984.0,29.0,,,4.0,340.0,,,SE,3.2,T,0,10.0
1997-01-26,6.0,0.9,2.8,0.9,0/6/0,983.2,982.2,982.7,10.0,,,2.0,360.0,,,SE,0.6,T,0,10.0
1997-01-27,4.7,0.5,1.6,0.9,0/6/0,985.2,980.2,982.4,9.0,,,1.0,320.0,,,NW,1.5,T,0,10.0
1997-01-28,2.6,0.1,1.3,0.8,0/6/0,997.5,985.2,993.0,8.0,,,3.0,230.0,,,W,0.1,T,0,10.0
1997-01-29,6.5,0.0,2.1,1.1,0/6/0,1000.8,997.5,999.9,13.0,,,3.0,10.0,,,NE,0.7,1,0,8.0
1997-01-30,6.0,-0.7,2.3,1.2,0/6/0,1000.2,996.9,998.0,6.0,,,2.0,120.0,,,NE,0.0,0,0,4.0
1997-01-31,3.3,-0.3,1.2,1.3,0/6/0,999.0,997.0,998.0,7.0,,,1.0,340.0,,,NW,0.8,T,0,10.0
1997-02-01,3.0,-1.2,0.3,1.1,0/6/0,1005.1,999.0,1002.4,14.0,,,2.0,250.0,,,W,16.4,22,0,10.0
1997-02-02,4.3,-0.8,1.0,1.2,0/6/0,1007.8,1005.1,1007.0,9.0,,,4.0,190.0,,,S,8.7,20,15,10.0
1997-02-03,3.2,-1.3,1.2,1.2,0/6/0,1007.2,1004.6,1005.1,8.0,,,5.0,210.0,,,S,0.6,T,0,8.0
1997-02-04,3.0,-0.3,0.5,1.3,0/6/0,1004.6,1003.2,1004.0,20.0,,,10.0,230.0,,,SW,0.0,0,0,10.0
1997-02-05,3.0,-1.1,0.3,1.0,0/6/0,1003.5,995.3,999.5,13.0,,,6.0,260.0,,,S,0.2,T,0,10.0
1997-02-06,4.7,-0.9,2.2,1.0,0/6/0,995.1,975.9,985.6,47.0,,,10.0,50.0,,,SE,6.4,1,0,10.0
1997-02-07,5.4,-1.6,3.2,1.0,0/6/0,975.9,969.9,972.7,45.0,,,13.0,30.0,,,N,2.3,T,0,10.0
1997-02-08,7.4,1.6,3.7,1.1,0/6/0,980.2,971.9,975.3,20.0,,,6.0,40.0,,,NE,0.1,0,0,8.0
1997-02-09,3.5,-2.1,-1.0,1.0,0/6/0,998.0,980.2,992.0,22.0,,,12.0,230.0,,,SW,1.9,2,0,9.0
1997-02-10,4.7,-1.7,1.0,1.2,0/6/0,1000.9,998.0,999.6,22.0,,,5.0,40.0,,,SW,0.1,T,0,8.0
1997-02-11,3.9,0.2,1.9,0.8,0/6/0,998.8,995.8,996.3,24.0,,,8.0,90.0,,,SE,10.8,T,0,10.0
1997-02-12,8.0,1.4,3.8,1.0,0/6/0,997.1,980.6,987.9,23.0,,,6.0,350.0,,,SE,0.8,0,0,10.0
1997-02-13,7.6,1.6,3.1,0.8,0/6/0,989.7,980.0,986.2,46.0,,,15.0,10.0,,,N,3.1,0,0,10.0
1997-02-14,7.9,2.1,4.4,1.0,0/6/0,989.1,985.4,986.3,33.0,,,10.0,10.0,,,N,0.5,0,0,10.0
1997-02-15,7.0,2.2,3.9,1.0,0/6/0,986.5,985.0,985.4,24.0,,,7.0,20.0,,,NE,T,0,0,10.0
1997-02-16,5.2,1.6,2.6,0.9,0/6/0,985.0,982.5,983.2,10.0,,,4.0,130.0,,,NE,0.2,0,0,10.0
1997-02-17,3.4,0.4,1.3,0.8,0/6/0,994.8,983.2,989.2,8.0,,,2.0,330.0,,,NW,8.2,T,0,10.0
1997-02-18,1.2,-0.5,0.4,0.6,0/6/0,1002.9,994.8,1000.7,22.0,,,7.0,220.0,,,SW,5.2,1,0,10.0
1997-02-19,3.0,-3.0,-0.2,0.8,0/6/0,1001.7,988.0,993.6,18.0,,,3.0,10.0,,,NE,1.2,T,0,10.0
1997-02-20,4.9,0.5,2.8,0.9,0/6/0,988.0,978.0,980.5,35.0,,,11.0,20.0,,,N,1.2,T,0,10.0
1997-02-21,4.6,0.2,2.5,0.6,0/6/0,982.5,978.2,979.8,14.0,,,5.0,40.0,,,NE,1.9,T,0,9.0
1997-02-22,4.6,-0.2,1.6,0.6,0/6/0,989.2,982.2,987.1,9.0,,,3.0,320.0,,,NW,0.2,T,0,8.0
1997-02-23,5.2,-1.4,1.0,0.7,0/6/0,990.9,989.2,990.1,10.0,,,3.0,10.0,,,N,0.0,0,0,5.0
1997-02-24,2.4,-1.5,0.0,0.9,0/6/0,990.1,988.6,989.1,14.0,,,3.0,200.0,,,N,0.0,0,0,10.0
1997-02-25,2.5,-1.4,-0.1,0.9,0/6/0,996.0,989.0,992.9,15.0,,,5.0,200.0,,,SE,0.0,0,0,9.0
1997-02-26,3.0,-0.6,0.9,0.8,0/6/0,997.5,994.2,996.0,32.0,,,10.0,40.0,,,NE,0.0,0,0,8.0
1997-02-27,4.2,-0.2,2.5,0.9,0/6/0,995.0,994.1,994.3,37.0,,,15.0,10.0,,,N,T,0,0,10.0
1997-02-28,6.5,1.4,4.0,1.0,0/6/0,998.8,983.0,993.7,48.0,,,19.0,30.0,,,N,4.7,0,0,10.0
1997-03-01,7.3,1.2,3.3,0.8,0/6/0,984.9,969.2,978.3,46.0,,,24.0,30.0,,,NW,3.4,T,0,10.0
1997-03-02,3.7,-0.2,1.4,1.1,0/6/0,991.3,981.4,985.4,17.0,,,3.0,330.0,,,NW,1.6,T,0,9.0
1997-03-03,3.8,-1.0,1.4,0.7,0/6/0,992.8,981.3,987.8,18.0,,,4.0,100.0,,,E,0.1,T,0,10.0
1997-03-04,4.5,0.5,3.3,0.8,0/6/0,994.5,978.7,986.6,41.0,,,16.0,360.0,,,N,3.7,T,0,10.0
1997-03-05,5.1,0.8,2.4,0.8,0/6/0,998.2,994.5,996.6,23.0,,,6.0,10.0,,,N,0.3,0,0,10.0
1997-03-06,2.7,0.0,0.9,0.6,0/6/0,1000.2,997.9,999.0,18.0,,,4.0,210.0,,,SW,0.6,0,0,8.0
1997-03-07,3.5,0.1,2.1,0.5,0/6/0,1000.5,988.8,993.5,26.0,,,14.0,20.0,,,N,1.5,0,0,10.0
1997-03-08,3.5,0.3,1.2,0.5,0/6/0,994.7,984.1,987.7,26.0,,,7.0,220.0,,,SW,0.8,0,0,8.0
1997-03-09,1.7,-0.4,0.8,0.0,0/6/0,999.9,984.8,994.3,30.0,,,14.0,340.0,,,NW,6.5,T,0,10.0
